Es,Ms
"38073,""1,9"""
"38099,""1,9"""
"38054,""2,4"""
"38807,""1,4"""
"38083,""1,6"""
"37497,""1,9"""
41140,2
"37831,""2,3"""
"38188,""1,7"""
"38104,""1,6"""
"37856,""1,4"""
37736,1
38483,1
"38265,""2,3"""
"38749,""1,6"""
"37828,""1,6"""
"37844,""2,5"""
"38159,""1,7"""
38008,2
"37521,""1,4"""
"37752,""2,4"""
"37588,""0,9"""
"38134,""2,1"""
"37761,""2,3"""
"38326,""1,5"""
"37685,""1,4"""
"38094,""2,3"""
"37895,""2,4"""
"36740,""1,8"""
"36954,""2,3"""
"39394,""2,1"""
"38042,""1,2"""
"38099,""0,9"""
"37810,""1,2"""
"37732,""1,4"""
"39454,""1,3"""
"37371,""1,1"""
"36927,""0,9"""
"36043,""2,1"""
"38542,""1,4"""
"38144,""2,1"""
"38142,""1,2"""
"38261,""1,7"""
"39651,""2,4"""
"37671,""2,9"""
"38212,""0,8"""
"40441,""1,4"""
"38101,""1,7"""
"38107,""2,3"""
37495,1
"36392,""1,2"""
"38294,""1,1"""
"40507,""1,1"""
"39609,""0,9"""
"38152,""3,2"""
"37626,""3,1"""
38215,3
"38699,""1,7"""
"40858,""3,1"""
"40786,""3,5"""
"38700,""2,1"""
"38183,""1,2"""
"38255,""2,1"""
"35964,""1,6"""
"37647,""1,6"""
"39414,""1,9"""
"39652,""1,6"""
38913,2
"39420,""1,1"""
"39033,""1,1"""
"38599,""2,8"""
"37620,""1,1"""
"38625,""1,7"""
"37852,""1,6"""
"37388,""2,1"""
"38124,""1,6"""
"39381,""1,6"""
"38617,""1,9"""
"37242,""1,6"""
39819,2
"37995,""1,1"""
"37159,""1,1"""
"39837,""2,8"""
"37818,""1,1"""
"40871,""1,7"""
"37085,""1,6"""
38173,2
"37486,""1,6"""
"34641,""1,3"""
"37894,""1,7"""
"38289,""1,8"""
"36359,""1,7"""
37981,1
"38175,""1,5"""
"37908,""2,5"""
"38121,""2,1"""
"38262,""1,7"""
"38956,""1,6"""
38054,1
"38592,""2,3"""
